RB_ID,KO_Name,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
269389,Schmidt,,,Dr.,,,,Wuppertal
269449,Schmidt,,,,,,,Hamburg
269516,Haase,,,,,,,Kassel
272143,Haase,,,,,,,Kassel
272316,Schmidt,,,,,,,Hamburg
274337,Könen,,,,,,,Düsseldorf
274351,Könen,,,,,,,Düsseldorf
274939,Marx,,,Dr.,,,,Kaiserslautern
275055,Jahn,,,Dr.,,,,Braunschweig
276251,Jahn,,,,,,,Marburg
277386,Haase,,,,,,,Kassel
277559,Schmidt,,,Dr.,,,,Gellersen
277561,Schmidt,,,Dr.,,,,Gellersen
277567,Schmidt,,,Dr.,,,,Gellersen
277585,Arndt,,,Dr.,,,,Berlin
277766,Franke,,,,,,,Osnabrück
277882,Jacobi,,,,,,,
277891,Jacobi,,,,,,,Köln
277909,Hauser,,,Dr.,,,,Sasbach
278075,Franke,,,,,,,Osnabrück
278191,Jacobi,,,,,,,
278200,Jacobi,,,,,,,Köln
278218,Hauser,,,Dr.,,,,Sasbach
278889,Jahn,,,,,,,Marburg
279111,Jacobi,,,,,,,Köln
279118,Busse,,,,,,,Herford
279181,Müller,,,,,,,Remscheid
280402,Schmidt,,,Dr.,,,,Wuppertal
281219,Schmid,,,Dr.,,,,Frankfurt
281563,Heiterkeit.,,,,,,,
281563,Könen,,,,,,,Düsseldorf
281564,Könen,,,,,,,Düsseldorf
282415,Könen,,,,,,,Düsseldorf
282729,Haase,,,,,,,Kassel
283274,Schmidt,,,,,,,Hamburg
285888,Schmidt,,,Dr.,,,,Wuppertal
287106,Russe,,,,,,,Bochum
287336,Schmidt,,,Dr.,,,,Gellersen
287546,Schultz,,,,,,,Gau-Bischofsheim
288219,Hauser,,,Dr.,,,,Sasbach
288225,Hauser,,,Dr.,,,,Sasbach
288235,Hauser,,,Dr.,,,,Sasbach
288619,Könen,,,,,,,Düsseldorf
288637,Könen,,,,,,,Düsseldorf
289046,Könen,,,,,,,Düsseldorf
289048,Könen,,,,,,,Düsseldorf
289383,Hauser,,,Dr.,,,,Sasbach
289520,Könen,,,,,,,Düsseldorf
289570,Brück,,,,,,,Köln
289583,Könen,,,,,,,Düsseldorf
289683,Franke,,,,,,,Osnabrück
290996,Schmidt,,,,,,,Hamburg
292424,Könen,,,,,,,Düsseldorf
292915,Kühn,,,,,,,Hildesheim
292996,Kühn,,,,,,,Hildesheim
293778,Schmidt,,,,,,,Braunschweig
294347,Könen,,,,,,,Düsseldorf
294351,Könen,,,,,,,Düsseldorf
294929,Schmidt,,,Dr.,,,,Gellersen
294931,Schmidt,,,Dr.,,,,Gellersen
296129,Jacobi,,,,,,,Köln
296273,Schmidt,,,Dr.,,,,Wuppertal
296881,Könen,,,,,,,Düsseldorf
297624,Schmidt,,,Dr.,,,,Gellersen
297700,Kühn,,,,,,,Hildesheim
298075,Schultz,,,,,,,Gau-Bischofsheim
298809,Könen,,,,,,,Düsseldorf
300676,Abg .Schmidt,,,,,,,Hamburg
301066,Schmidt,,,,,,,Hamburg
301073,Schmidt,,,Dr.,,,,Wuppertal
301419,Franke,,,,,,,Osnabrück
301541,Könen,,,,,,,Düsseldorf
301996,Haase,,,,,,,Kassel
301998,Haase,,,,,,,Kassel
302000,Haase,,,,,,,Kassel
302109,Könen,,,,,,,Düsseldorf
302134,Könen,,,,,,,Düsseldorf
302377,Haase,,,,,,,Kellinghusen
302816,Könen,,,,,,,Düsseldorf
303173,Schmidt,,,Dr.,,,,Wuppertal
303206,Jacobi,,,,,,,Köln
303212,Jacobi,,,,,,,Köln
303277,Fritsch,,,,,,,Deggendorf
303589,Busse,,,,,,,Herford
303792,Rasner,,,,,,CDU/CSU,
304277,Busse,,,,,,,Herford
304397,Haase,,,,,,,Kassel
304820,Haase,,,,,,,Kassel
305566,Schmidt,,,,,,,Braunschweig
306104,Bauer,,,,,,,Wasserburg
306394,Peters,,,,,,,Poppenbüll
307658,Erhard,,,,,,,Bad Schwalbach
308192,Starke,,,Dr.,,,,
308564,Könen,,,,,,,Düsseldorf
308632,Könen,,,,,,,Düsseldorf
308652,Könen,,,,,,,Düsseldorf
308894,Könen,,,,,,,Düsseldorf
309155,Haase,,,,,,,Kassel
309547,Könen,,,,,,,Düsseldorf
309556,Rösing,,,,,,,
309556,Könen,,,,,,,Düsseldorf
310161,Unruhe.,,,,,,,
310161,Marx,,,Dr.,,,,Kaiserslautern
310176,Marx,,,Dr.,,,,
310504,Könen,,,,,,,Düsseldorf
311507,Russe,,,,,,,Bochum
311526,Russe,,,,,,,Bochum
311570,Schmidt,,,Dr.,,,,Wuppertal
311583,Schmidt,,,Dr.,,,,Wuppertal
311985,Schultz,,,,,,,Gau-Bischofsheim
312074,Müller,,,,,,,Mülheim
312641,Hauser,,,,,,,Sasbach
312975,Lücke,,,,,,,Bensberg
313764,Schultz,,,,,,,Gau-Bischofsheim
314139,Schultz,,,,,,,Gau-Bischofsheim
314546,Abg Kühn,,,,,,,Hildesheim
314552,Kühn,,,,,,,Hildesheim
315036,Könen,,,,,,,Düsseldorf
315153,Hörmann,,,,,,,Freiburg
316697,Jacobi,,,,,,,Köln
316886,Jacobi,,,,,,,Köln
