RB_ID,KO_Name,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
321675,Haase,,,,,,,Kassel
321812,Jacobi,,,,,,,Köln
321986,Haase,,,,,,,Kassel
322265,Schmidt,,,Dr.,,,,Gellersen
322388,Ahg.  Marx,,,Dr.,,,,Kaiserslautern
323490,Stark,,,Dr.,,,,Nürtingen
323719,Schäfer,,,Dr.,,,,Tübingen
323754,Hauser,,,Dr.,,,,Sasbach
323803,Hauser,,,Dr.,,,,Sasbach
323810,Erhard,,,,,,,Bad Schwalbach
324212,Franke,,,,,,,Osnabrück
324267,Franke,,,,,,,Osnabrück
324282,Schäfer,,,Dr.,,,,Tübingen
324295,Schäfer,,,Dr.,,,,Tübingen
324668,Lenz,,,Dr.,,,,Bergstraße
324824,Mursch,,,,,,,Soltau-Harburg
325068,Franke,,,,,,,Osnabrück
325523,Jacobi,,,,,,,Köln
325543,Jacobi,,,,,,,
326120,Haase,,,,,,,Kassel
326152,Haase,,,,,,,Kassel
326376,Franke,,,,,,,Osnabrück
326386,Stark,,,Dr.,,,,Nürtingen
326389,Stark,,,Dr.,,,,Nürtingen
326726,Franke,,,,,,,Osnabrück
326792,Stark,,,Dr.,,,,Nürtingen
327286,Wagner,,,,,,,Günzburg
327323,Lenz,,,Dr.,,,,Bergstraße
327352,Schäfer,,,Dr.,,,,Tübingen
327635,Stark,,,Dr.,,,,Nürtingen
327642,Stark,,,Dr.,,,,Nürtingen
327674,Stark,,,Dr.,,,,Nürtingen
327731,Erhard,,,,,,,Bad Schwalbach
328061,Stark,,,Dr.,,,,Nürtingen
328201,Müller,,,Dr.,,,,München
328276,Schäfer,,,Dr.,,,,Tübingen
328280,Schäfer,,,Dr.,,,,Tübingen
328340,Schäfer,,,Dr.,,,,Tübingen
329001,Schäfer,,,Dr.,,,,Tübingen
329581,Schäfer,,,Dr.,,,,Tübingen
330022,Hauser,,,Dr.,,,,Sasbach
330024,Hauser,,,Dr.,,,,Sasbach
330282,Franke,,,,,,,Osnabrück
330316,Hermesdorf,,,Dr.,,,,Schleiden
330376,Schäfer,,,Dr.,,,,Tübingen
330450,Schäfer,,,Dr.,,,,Tübingen
330716,Schneider,,,Dr.,,,,Nürnberg
330722,Lücke,,,,,,,Bensberg
330722,Schäfer,,,Dr.,,,,Tübingen
330722,Schäfer,,,Dr.,,,,Tübingen
330722,Lücke,,,,,,,Bensberg
330731,Schäfer,,,Dr.,,,,Tübingen
330739,Schäfer,,,Dr.,,,,Tübingen
330755,Lücke,,,,,,,
330759,Lücke,,,,,,,Bensberg
330782,Lücke,,,,,,,Bensberg
330930,Marx,,,Dr.,,,,Kaiserslautern
331024,Zuruf des   Marx,,,Dr.,,,,Kaiserslautern
331054,Marx,,,Dr.,,,,Kaiserslautern
331363,Stark,,,Dr.,,,,Nürtingen
331380,Müller,,,,,,,Norden
331422,Kliesing,,,Dr.,,,,Honnef
331426,Marx,,,Dr.,,,,Kaiserslautern
331462,Dr .Schäfer,,,,,,,Tübingen
331465,Schäfer,,,Dr.,,,,Tübingen
331511,Schäfer,,,Dr.,,,,Tübingen
331689,Schäfer,,,Dr.,,,,Tübingen
331691,Schäfer,,,Dr.,,,,Tübingen
331693,Schäfer,,,Dr.,,,,Tübingen
331732,Schäfer,,,Dr.,,,,Tübingen
331821,Stein,,,,,,,Honrath
331955,Schäfer,,,Dr.,,,,Tübingen
331960,Schäfer,,,Dr.,,,,Tübingen
332121,Haase,,,,,,,Kassel
332137,Baier,,,,,,,
332137,Haase,,,,,,,Kassel
332155,Schäfer,,,Dr.,,,,Tübingen
332263,Lenz,,,Dr.,,,,Bergstraße
332273,Schäfer,,,Dr.,,,,Tübingen
332282,Schäfer,,,Dr.,,,,Tübingen
332299,Haase,,,,,,,Kassel
332459,Marx,,,Dr.,,,,Kaiserslautern
332494,Hauser,,,Dr.,,,,Sasbach
332504,Schäfer,,,Dr.,,,,Tübingen
332512,Schmidt,,,Dr.,,,,Wuppertal
332519,Marx,,,Dr.,,,,Kaiserslautern
332525,Marx,,,Dr.,,,,Kaiserslautern
332546,Hermsdorf,,,,,,,Cuxhaven
332549,Schäfer,,,Dr.,,,,Tübingen
332551,Schäfer,,,Dr.,,,,Tübingen
332651,Schmidt,,,Dr.,,,,Wuppertal
332657,Schäfer,,,Dr.,,,,Tübingen
332748,Hermsdorf,,,,,,,Cuxhaven
332751,Marx,,,Dr.,,,,Kaiserslautern
332763,Marx,,,Dr.,,,,Kaiserslautern
332780,Wagner,,,Dr.,,,,Trier
332802,Wagner,,,Dr.,,,,Trier
332804,Marx,,,Dr.,,,,Kaiserslautern
332883,Haase,,,,,,,Kassel
333124,Stark,,,Dr.,,,,Nürtingen
333175,Stark,,,Dr.,,,,Nürtingen
333175,Stoltenberg,,,Dr.,,,,
333330,Hauser,,,Dr.,,,,Sasbach
333377,Franke,,,,,,,Osnabrück
333435,Schäfer,,,Dr.,,,,Tübingen
333443,Schäfer,,,Dr.,,,,Tübingen
333456,Lenz,,,Dr.,,,,Bergstraße
333458,Schäfer,,,Dr.,,,,Tübingen
333490,Franke,,,,,,,Osnabrück
