RB_ID,KO_Name,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
184230,Baur,,,,,,,Augsburg
184235,Becker,,,Dr.,,,,Hersfeld
184238,Schmid,,,Dr.,,,,Tübingen
184239,Schmid,,,Dr.,,,,Tübingen
184241,Schmidt,,,Dr.,,,,Tübingen
184243,Schmid,,,Dr.,,,,Tübingen
184279,Schmid,,,Dr.,,,,Tübingen
184280,Schmid,,,Dr.,,,,Tübingen
184281,Schmid,,,Dr.,,,,Tübingen
184453,Müller,,,Dr.,,,,Bonn
184494,Weber,,,Dr.,,,,Koblenz
184515,Weber,,,Dr.,,,,Aachen
184517,Kemper,,,,,,,Trier
184533,Große Heiterkeit. - Lebhafte Zurufe  Mitte,,,,von der,,,
184645,Becker,,,Dr.,,,,Hersfeld
184661,Becker,,,Dr.,,,,Hersfeld
184667,Weber,,,Dr.,,,,Aachen
184672,Schild,,,Dr.,,,,Düsseldorf
184917,Kunze,,,,,,,
184918,Weber,,,Dr.,,,,Aachen
184923,Böhm,,,,,,,Düsseldorf
184938,Becker,,,Dr.,,,,Hersfeld
184953,Blank,,,Dr.,,,,Oberhausen
184986,Schmidt,,,,,,,Hamburg
185024,Weber,,,Dr.,,,,Aachen
185026,Weber,,,Dr.,,,,Aachen
185059,Weber,,,Dr.,,,,Aachen
185078,Kunze,,,,,,,
185081,Schröter,,,,,,,Wilmersdorf
185086,Kunze,,,,,,,
185101,Schmid,,,Dr.,,,,Tübingen
185105,Weber,,,Dr.,,,,Koblenz
185113,Schmid,,,Dr.,,,,Tübingen
185113,Heiterkeit.,,,,,,,
185118,Schröter,,,,,,,Wilmersdorf
185122,Weber,,,Dr.,,,,Koblenz
185123,Schmid,,,Dr.,,,,Tübingen
185127,Weber,,,Dr.,,,,Koblenz
185400,Weber,,,Dr.,,,,Koblenz
185420,Kühn,,,,,,,Bonn
185424,Böhm,,,,,,,Düsseldorf
185501,Kemmer,,,,,,,Bamberg
185504,Kühn,,,,,,,Köln
185506,Schröter,,,,,,,Wilmersdorf
185518,Kunze,,,,,,,
185529,Weber,,,Dr.,,,,Koblenz
185580,Weber,,,Dr.,,,,Aachen
185599,Becker,,,Dr.,,,,Hersfeld
185601,Kunze,,,,,,,
185696,Weber,,,Dr.,,,,Aachen
185698,Kunze,,,,,,,
185700,Weber,,,Dr.,,,,Aachen
185701,Weber,,,Dr.,,,,Aachen
185704,Kunze,,,,,,,
185720,Müller,,,Dr.,,,,Bonn
185791,Weber,,,Dr.,,,,Aachen
185793,Weber,,,Dr.,,,,Aachen
185829,Lenz,,,,,,,Brühl
185855,Kunze,,,,,,,
